streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace3-6403_4.csv,26.61,0.0,-0.006,26.62
trace3-6403_phase_2_1.csv,76.434,0.0,-0.224,74.485
trace3-6403_phase_2_2.csv,75.665,0.0,-0.224,73.665
trace3-6403_phase_2_3.csv,76.598,0.0,-0.243,74.645
trace3-6403_phase_2_4.csv,76.189,0.0,-0.247,74.847
trace3-6658_1.csv,14.544,7.954,-0.095,3.438
trace3-6658_3.csv,45.693,7.321,-0.088,45.74
trace3-6658_4.csv,54.785,6.867,-0.033,54.896
trace3-6658_5.csv,65.713,8.867,0.028,65.906
trace3-6658_phase_2_1.csv,12.731,7.527,-0.353,6.66
trace3-6658_phase_2_2.csv,15.288,6.867,-0.162,14.631
trace3-6658_phase_2_3.csv,25.006,7.867,-0.15,24.553
trace3-6658_phase_2_4.csv,34.152,11.867,-0.138,33.535
trace4-06a6_1.csv,4.203,0.0,0.481,-26.653
trace4-06a6_3.csv,46.942,0.0,0.499,25.84
trace4-06a6_4.csv,52.023,0.0,0.515,37.246
trace4-06a6_5.csv,57.87,0.0,0.638,48.505
trace4-06a6_phase_2_1.csv,3.346,0.0,0.58,-21.753
trace4-06a6_phase_2_2.csv,14.384,0.86,0.582,-10.713
trace4-06a6_phase_2_3.csv,25.321,0.0,0.584,0.215
trace4-06a6_phase_2_4.csv,36.517,0.0,0.587,11.412
trace4-08e1_1.csv,10.541,4.1,0.029,-1.418
trace4-08e1_2.csv,8.341,1.469,-0.062,2.845
trace4-08e1_3.csv,16.765,2.953,-0.241,11.253
trace4-08e1_4.csv,20.622,0.0,-0.018,20.76
trace4-08e1_phase_2_1.csv,41.785,0.0,-0.296,40.472
trace4-08e1_phase_2_2.csv,70.735,0.0,-0.296,69.074
trace4-08e1_phase_2_3.csv,69.228,0.0,-0.293,67.75
trace4-08e1_phase_2_4.csv,68.668,0.0,-0.295,67.69
trace4-1a6d_2.csv,40.642,11.025,-0.222,35.038
trace4-1a6d_3.csv,47.499,10.596,-0.004,47.637
